case	model	table	phase	weight	calls	total_ms	avg_us	lhs_shape	rhs_shape	sequence_len
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.22.linear_attn.in_proj_qkv_z_ba.weight	4	0.395878	98.969	[1x1x1024]	[8224x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.22.linear_attn.out_proj.weight	4	0.464677	116.169	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.22.mlp.down_proj.weight	4	0.272032	68.008	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.22.mlp.gate_up_proj.weight	4	0.339921	84.980	[1x1x1024]	[7168x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.23.mlp.down_proj.weight	4	0.284172	71.043	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.23.mlp.gate_up_proj.weight	4	0.354670	88.667	[1x1x1024]	[7168x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.23.self_attn.o_proj.weight	4	0.393769	98.442	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.23.self_attn.qkv_proj.weight	4	0.300552	75.138	[1x1x1024]	[5120x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.3.mlp.down_proj.weight	4	0.275541	68.885	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.3.mlp.gate_up_proj.weight	4	0.340078	85.019	[1x1x1024]	[7168x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.3.self_attn.o_proj.weight	4	0.397028	99.257	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.3.self_attn.qkv_proj.weight	4	0.298922	74.731	[1x1x1024]	[5120x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.4.linear_attn.in_proj_qkv_z_ba.weight	4	0.394338	98.585	[1x1x1024]	[8224x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.4.linear_attn.out_proj.weight	4	0.467937	116.984	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.4.mlp.down_proj.weight	4	0.274512	68.628	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.4.mlp.gate_up_proj.weight	4	0.342580	85.645	[1x1x1024]	[7168x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.5.linear_attn.in_proj_qkv_z_ba.weight	4	0.394398	98.600	[1x1x1024]	[8224x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.5.linear_attn.out_proj.weight	4	0.469397	117.349	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.5.mlp.down_proj.weight	4	0.279721	69.930	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.5.mlp.gate_up_proj.weight	4	0.340151	85.038	[1x1x1024]	[7168x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.6.linear_attn.in_proj_qkv_z_ba.weight	4	0.394568	98.642	[1x1x1024]	[8224x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.6.linear_attn.out_proj.weight	4	0.467976	116.994	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.6.mlp.down_proj.weight	4	0.276481	69.120	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.6.mlp.gate_up_proj.weight	4	0.344639	86.160	[1x1x1024]	[7168x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.7.mlp.down_proj.weight	4	0.276262	69.066	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.7.mlp.gate_up_proj.weight	4	0.384577	96.144	[1x1x1024]	[7168x128]	1
